property_id,month,rent_billed,rent_collected,past_due_amount,delinquency_rate
MHC-01,2024-01-01,87354.6,82537.07,4817.53,0.0551
MHC-01,2024-02-01,87354.6,82510.46,4844.14,0.0555
MHC-01,2024-03-01,89002.8,84036.61,4966.19,0.0558
MHC-01,2024-04-01,89002.8,84515.51,4487.29,0.0504
MHC-01,2024-05-01,89002.8,84701.16,4301.64,0.0483
MHC-01,2024-06-01,89002.8,83744.37,5258.43,0.0591
MHC-01,2024-07-01,88178.7,82815.85,5362.85,0.0608
MHC-01,2024-08-01,92299.2,87555.81,4743.39,0.0514
MHC-01,2024-09-01,89002.8,83920.33,5082.47,0.0571
MHC-01,2024-10-01,92299.2,87406.2,4893.0,0.053
MHC-01,2024-11-01,91475.1,85783.69,5691.41,0.0622
MHC-01,2024-12-01,89002.8,83378.71,5624.09,0.0632
MHC-02,2024-01-01,58194.58,54962.41,3232.17,0.0555
MHC-02,2024-02-01,58194.58,54667.26,3527.32,0.0606
MHC-02,2024-03-01,58904.27,55227.71,3676.56,0.0624
MHC-02,2024-04-01,58904.27,55375.44,3528.83,0.0599
MHC-02,2024-05-01,61743.03,57537.99,4205.04,0.0681
MHC-02,2024-06-01,61743.03,57814.75,3928.28,0.0636
MHC-02,2024-07-01,58904.27,55252.43,3651.84,0.062
MHC-02,2024-08-01,61743.03,57616.42,4126.61,0.0668
MHC-02,2024-09-01,60323.65,56099.07,4224.58,0.07
MHC-02,2024-10-01,62452.72,58418.55,4034.17,0.0646
MHC-02,2024-11-01,61743.03,57616.65,4126.38,0.0668
MHC-02,2024-12-01,60323.65,55742.56,4581.09,0.0759
MHC-03,2024-01-01,67667.73,59425.9,8241.83,0.1218
MHC-03,2024-02-01,68445.52,60034.01,8411.51,0.1229
MHC-03,2024-03-01,67667.73,59041.2,8626.53,0.1275
MHC-03,2024-04-01,66112.15,57758.14,8354.01,0.1264
MHC-03,2024-05-01,67667.73,58786.89,8880.84,0.1312
MHC-03,2024-06-01,69223.31,59792.41,9430.9,0.1362
MHC-03,2024-07-01,69223.31,59332.83,9890.48,0.1429
MHC-03,2024-08-01,69223.31,59378.65,9844.66,0.1422
MHC-03,2024-09-01,69223.31,59135.15,10088.16,0.1457
MHC-03,2024-10-01,69223.31,59007.39,10215.92,0.1476
MHC-03,2024-11-01,70778.89,59600.29,11178.6,0.1579
MHC-03,2024-12-01,69223.31,58372.74,10850.57,0.1567
MHC-04,2024-01-01,101104.49,98590.52,2513.97,0.0249
MHC-04,2024-02-01,103419.86,100811.12,2608.74,0.0252
MHC-04,2024-03-01,101876.28,100178.16,1698.12,0.0167
MHC-04,2024-04-01,103419.86,101394.55,2025.31,0.0196
MHC-04,2024-05-01,104191.65,101517.67,2673.98,0.0257
MHC-04,2024-06-01,105735.23,103502.49,2232.74,0.0211
MHC-04,2024-07-01,104191.65,101999.22,2192.43,0.021
MHC-04,2024-08-01,103419.86,100152.85,3267.01,0.0316
MHC-04,2024-09-01,105735.23,102761.4,2973.83,0.0281
MHC-04,2024-10-01,106507.02,103540.39,2966.63,0.0279
MHC-04,2024-11-01,104191.65,100804.76,3386.89,0.0325
MHC-04,2024-12-01,106507.02,102918.8,3588.22,0.0337
MHC-05,2024-01-01,46959.33,42907.45,4051.88,0.0863
MHC-05,2024-02-01,50362.18,46164.74,4197.44,0.0833
MHC-05,2024-03-01,49681.61,45432.03,4249.58,0.0855
MHC-05,2024-04-01,51042.75,46774.13,4268.62,0.0836
MHC-05,2024-05-01,50362.18,46215.78,4146.4,0.0823
MHC-05,2024-06-01,51723.32,47396.25,4327.07,0.0837
MHC-05,2024-07-01,50362.18,46274.22,4087.96,0.0812
MHC-05,2024-08-01,50362.18,46177.95,4184.23,0.0831
MHC-05,2024-09-01,50362.18,46804.82,3557.36,0.0706
MHC-05,2024-10-01,51723.32,47975.04,3748.28,0.0725
MHC-05,2024-11-01,53084.46,49374.4,3710.06,0.0699
MHC-05,2024-12-01,51723.32,47878.2,3845.12,0.0743
MHC-06,2024-01-01,73830.0,70361.18,3468.82,0.047
MHC-06,2024-02-01,73027.5,69581.22,3446.28,0.0472
MHC-06,2024-03-01,75435.0,71572.61,3862.39,0.0512
MHC-06,2024-04-01,74632.5,70767.29,3865.21,0.0518
MHC-06,2024-05-01,76237.5,72351.0,3886.5,0.051
MHC-06,2024-06-01,75435.0,71546.84,3888.16,0.0515
MHC-06,2024-07-01,74632.5,70114.72,4517.78,0.0605
MHC-06,2024-08-01,75435.0,71234.69,4200.31,0.0557
MHC-06,2024-09-01,75435.0,70787.53,4647.47,0.0616
MHC-06,2024-10-01,74632.5,70245.17,4387.33,0.0588
MHC-06,2024-11-01,76237.5,72143.7,4093.8,0.0537
MHC-06,2024-12-01,74632.5,69707.4,4925.1,0.066
MHC-07,2024-01-01,82608.92,78145.37,4463.55,0.054
MHC-07,2024-02-01,80335.28,75428.2,4907.08,0.0611
MHC-07,2024-03-01,82608.92,77154.63,5454.29,0.066
MHC-07,2024-04-01,81093.16,75372.2,5720.96,0.0705
MHC-07,2024-05-01,81093.16,75593.92,5499.24,0.0678
MHC-07,2024-06-01,82608.92,76239.74,6369.18,0.0771
MHC-07,2024-07-01,82608.92,76058.67,6550.25,0.0793
MHC-07,2024-08-01,81851.04,74730.47,7120.57,0.087
MHC-07,2024-09-01,84124.68,76693.11,7431.57,0.0883
MHC-07,2024-10-01,81851.04,73859.22,7991.82,0.0976
MHC-07,2024-11-01,82608.92,73491.44,9117.48,0.1104
MHC-07,2024-12-01,81093.16,72401.4,8691.76,0.1072
STG-01,2024-01-01,36703.0,35476.8,1226.2,0.0334
STG-01,2024-02-01,36703.0,35588.36,1114.64,0.0304
STG-01,2024-03-01,36992.0,35849.16,1142.84,0.0309
STG-01,2024-04-01,37281.0,35856.3,1424.7,0.0382
STG-01,2024-05-01,37281.0,35805.36,1475.64,0.0396
STG-01,2024-06-01,37136.5,35828.75,1307.75,0.0352
STG-01,2024-07-01,37281.0,35861.51,1419.49,0.0381
STG-01,2024-08-01,37859.0,36639.14,1219.86,0.0322
STG-01,2024-09-01,37714.5,36400.78,1313.72,0.0348
STG-01,2024-10-01,37714.5,36062.37,1652.13,0.0438
STG-01,2024-11-01,38003.5,36481.8,1521.7,0.04
STG-01,2024-12-01,38148.0,36602.76,1545.24,0.0405
