property_id,market_avg_rent,property_avg_rent,rent_upside_pct,competitor_occupancy,market_cap_rate,opportunity_score
MHC-03,908.85,777.79,16.85,0.8446,6.123,100
MHC-05,780.68,680.57,14.71,0.8849,5.61,96
STG-04,127.69,112.69,13.31,0.8348,5.182,90
STG-02,139.63,127.12,9.84,0.9417,5.482,65
STG-05,96.69,91.36,5.83,0.9365,5.413,63
MHC-07,813.13,757.88,7.29,0.9547,6.775,60
MHC-02,736.02,709.69,3.71,0.9425,5.613,58
MHC-06,839.01,802.5,4.55,0.96,6.678,57
MHC-04,806.67,771.79,4.52,0.98,5.928,55
STG-03,96.83,90.04,7.54,0.9098,6.332,55
MHC-01,843.8,824.1,2.39,0.9316,6.494,53
STG-01,146.41,144.5,1.32,0.9441,5.636,47
