property_id,month,occupied_units,total_units,occupancy_rate
MHC-01,2024-01-01,106,120,0.8833
MHC-01,2024-02-01,106,120,0.8833
MHC-01,2024-03-01,108,120,0.9
MHC-01,2024-04-01,108,120,0.9
MHC-01,2024-05-01,108,120,0.9
MHC-01,2024-06-01,108,120,0.9
MHC-01,2024-07-01,107,120,0.8917
MHC-01,2024-08-01,112,120,0.9333
MHC-01,2024-09-01,108,120,0.9
MHC-01,2024-10-01,112,120,0.9333
MHC-01,2024-11-01,111,120,0.925
MHC-01,2024-12-01,108,120,0.9
MHC-02,2024-01-01,82,95,0.8632
MHC-02,2024-02-01,82,95,0.8632
MHC-02,2024-03-01,83,95,0.8737
MHC-02,2024-04-01,83,95,0.8737
MHC-02,2024-05-01,87,95,0.9158
MHC-02,2024-06-01,87,95,0.9158
MHC-02,2024-07-01,83,95,0.8737
MHC-02,2024-08-01,87,95,0.9158
MHC-02,2024-09-01,85,95,0.8947
MHC-02,2024-10-01,88,95,0.9263
MHC-02,2024-11-01,87,95,0.9158
MHC-02,2024-12-01,85,95,0.8947
MHC-03,2024-01-01,87,110,0.7909
MHC-03,2024-02-01,88,110,0.8
MHC-03,2024-03-01,87,110,0.7909
MHC-03,2024-04-01,85,110,0.7727
MHC-03,2024-05-01,87,110,0.7909
MHC-03,2024-06-01,89,110,0.8091
MHC-03,2024-07-01,89,110,0.8091
MHC-03,2024-08-01,89,110,0.8091
MHC-03,2024-09-01,89,110,0.8091
MHC-03,2024-10-01,89,110,0.8091
MHC-03,2024-11-01,91,110,0.8273
MHC-03,2024-12-01,89,110,0.8091
MHC-04,2024-01-01,131,140,0.9357
MHC-04,2024-02-01,134,140,0.9571
MHC-04,2024-03-01,132,140,0.9429
MHC-04,2024-04-01,134,140,0.9571
MHC-04,2024-05-01,135,140,0.9643
MHC-04,2024-06-01,137,140,0.9786
MHC-04,2024-07-01,135,140,0.9643
MHC-04,2024-08-01,134,140,0.9571
MHC-04,2024-09-01,137,140,0.9786
MHC-04,2024-10-01,138,140,0.9857
MHC-04,2024-11-01,135,140,0.9643
MHC-04,2024-12-01,138,140,0.9857
MHC-05,2024-01-01,69,88,0.7841
MHC-05,2024-02-01,74,88,0.8409
MHC-05,2024-03-01,73,88,0.8295
MHC-05,2024-04-01,75,88,0.8523
MHC-05,2024-05-01,74,88,0.8409
MHC-05,2024-06-01,76,88,0.8636
MHC-05,2024-07-01,74,88,0.8409
MHC-05,2024-08-01,74,88,0.8409
MHC-05,2024-09-01,74,88,0.8409
MHC-05,2024-10-01,76,88,0.8636
MHC-05,2024-11-01,78,88,0.8864
MHC-05,2024-12-01,76,88,0.8636
MHC-06,2024-01-01,92,102,0.902
MHC-06,2024-02-01,91,102,0.8922
MHC-06,2024-03-01,94,102,0.9216
MHC-06,2024-04-01,93,102,0.9118
MHC-06,2024-05-01,95,102,0.9314
MHC-06,2024-06-01,94,102,0.9216
MHC-06,2024-07-01,93,102,0.9118
MHC-06,2024-08-01,94,102,0.9216
MHC-06,2024-09-01,94,102,0.9216
MHC-06,2024-10-01,93,102,0.9118
MHC-06,2024-11-01,95,102,0.9314
MHC-06,2024-12-01,93,102,0.9118
MHC-07,2024-01-01,109,115,0.9478
MHC-07,2024-02-01,106,115,0.9217
MHC-07,2024-03-01,109,115,0.9478
MHC-07,2024-04-01,107,115,0.9304
MHC-07,2024-05-01,107,115,0.9304
MHC-07,2024-06-01,109,115,0.9478
MHC-07,2024-07-01,109,115,0.9478
MHC-07,2024-08-01,108,115,0.9391
MHC-07,2024-09-01,111,115,0.9652
MHC-07,2024-10-01,108,115,0.9391
MHC-07,2024-11-01,109,115,0.9478
MHC-07,2024-12-01,107,115,0.9304
STG-01,2024-01-01,254,280,0.9071
STG-01,2024-02-01,254,280,0.9071
STG-01,2024-03-01,256,280,0.9143
STG-01,2024-04-01,258,280,0.9214
STG-01,2024-05-01,258,280,0.9214
STG-01,2024-06-01,257,280,0.9179
STG-01,2024-07-01,258,280,0.9214
STG-01,2024-08-01,262,280,0.9357
STG-01,2024-09-01,261,280,0.9321
STG-01,2024-10-01,261,280,0.9321
STG-01,2024-11-01,263,280,0.9393
STG-01,2024-12-01,264,280,0.9429
STG-02,2024-01-01,286,320,0.8938
STG-02,2024-02-01,285,320,0.8906
STG-02,2024-03-01,287,320,0.8969
STG-02,2024-04-01,286,320,0.8938
STG-02,2024-05-01,287,320,0.8969
STG-02,2024-06-01,291,320,0.9094
STG-02,2024-07-01,292,320,0.9125
STG-02,2024-08-01,291,320,0.9094
STG-02,2024-09-01,294,320,0.9187
STG-02,2024-10-01,294,320,0.9187
STG-02,2024-11-01,296,320,0.925
STG-02,2024-12-01,295,320,0.9219
STG-03,2024-01-01,214,240,0.8917
STG-03,2024-02-01,213,240,0.8875
STG-03,2024-03-01,213,240,0.8875
STG-03,2024-04-01,217,240,0.9042
STG-03,2024-05-01,216,240,0.9
STG-03,2024-06-01,214,240,0.8917
STG-03,2024-07-01,214,240,0.8917
STG-03,2024-08-01,215,240,0.8958
STG-03,2024-09-01,216,240,0.9
STG-03,2024-10-01,217,240,0.9042
STG-03,2024-11-01,219,240,0.9125
STG-03,2024-12-01,220,240,0.9167
STG-04,2024-01-01,146,195,0.7487
STG-04,2024-02-01,151,195,0.7744
STG-04,2024-03-01,153,195,0.7846
STG-04,2024-04-01,156,195,0.8
STG-04,2024-05-01,157,195,0.8051
STG-04,2024-06-01,160,195,0.8205
STG-04,2024-07-01,160,195,0.8205
STG-04,2024-08-01,164,195,0.841
STG-04,2024-09-01,162,195,0.8308
STG-04,2024-10-01,164,195,0.841
STG-04,2024-11-01,170,195,0.8718
STG-04,2024-12-01,170,195,0.8718
STG-05,2024-01-01,229,260,0.8808
STG-05,2024-02-01,228,260,0.8769
STG-05,2024-03-01,230,260,0.8846
STG-05,2024-04-01,232,260,0.8923
STG-05,2024-05-01,231,260,0.8885
STG-05,2024-06-01,233,260,0.8962
STG-05,2024-07-01,231,260,0.8885
STG-05,2024-08-01,234,260,0.9
STG-05,2024-09-01,236,260,0.9077
STG-05,2024-10-01,234,260,0.9
STG-05,2024-11-01,238,260,0.9154
STG-05,2024-12-01,235,260,0.9038
