property_id,month,total_revenue,operating_expenses,noi,noi_margin,expense_ratio
MHC-01,2024-01-01,87405.22,37869.87,49535.35,0.5667,0.4333
MHC-01,2024-02-01,88960.13,38006.55,50953.58,0.5728,0.4272
MHC-01,2024-03-01,88529.45,38176.7,50352.75,0.5688,0.4312
MHC-01,2024-04-01,90143.96,39580.71,50563.25,0.5609,0.4391
MHC-01,2024-05-01,90473.11,40942.16,49530.95,0.5475,0.4525
MHC-01,2024-06-01,88443.09,40278.05,48165.04,0.5446,0.4554
MHC-01,2024-07-01,87612.5,40042.71,47569.79,0.543,0.457
MHC-01,2024-08-01,94311.62,44207.65,50103.97,0.5313,0.4687
MHC-01,2024-09-01,88348.72,41067.59,47281.13,0.5352,0.4648
MHC-01,2024-10-01,92502.02,42641.58,49860.44,0.539,0.461
MHC-01,2024-11-01,92057.36,44021.54,48035.82,0.5218,0.4782
MHC-01,2024-12-01,88202.89,42762.93,45439.96,0.5152,0.4848
MHC-02,2024-01-01,58620.18,25708.1,32912.08,0.5614,0.4386
MHC-02,2024-02-01,57416.48,25088.67,32327.81,0.563,0.437
MHC-02,2024-03-01,59452.25,27287.85,32164.4,0.541,0.459
MHC-02,2024-04-01,59050.58,27343.7,31706.88,0.5369,0.4631
MHC-02,2024-05-01,61420.38,27932.76,33487.62,0.5452,0.4548
MHC-02,2024-06-01,60926.53,28235.66,32690.87,0.5366,0.4634
MHC-02,2024-07-01,59505.18,28482.14,31023.04,0.5214,0.4786
MHC-02,2024-08-01,61984.96,30134.63,31850.33,0.5138,0.4862
MHC-02,2024-09-01,59257.58,28362.28,30895.3,0.5214,0.4786
MHC-02,2024-10-01,61519.63,30433.34,31086.29,0.5053,0.4947
MHC-02,2024-11-01,62025.71,30558.39,31467.32,0.5073,0.4927
MHC-02,2024-12-01,59567.61,29372.26,30195.35,0.5069,0.4931
MHC-03,2024-01-01,64054.97,31854.03,32200.94,0.5027,0.4973
MHC-03,2024-02-01,64793.88,32328.43,32465.45,0.5011,0.4989
MHC-03,2024-03-01,63554.46,30884.31,32670.15,0.514,0.486
MHC-03,2024-04-01,61922.32,30640.74,31281.58,0.5052,0.4948
MHC-03,2024-05-01,63367.83,32124.56,31243.27,0.493,0.507
MHC-03,2024-06-01,64331.96,32799.74,31532.22,0.4901,0.5099
MHC-03,2024-07-01,62774.38,32147.46,30626.92,0.4879,0.5121
MHC-03,2024-08-01,62540.14,32304.12,30236.02,0.4835,0.5165
MHC-03,2024-09-01,63615.1,32206.22,31408.88,0.4937,0.5063
MHC-03,2024-10-01,63403.3,32573.54,30829.76,0.4862,0.5138
MHC-03,2024-11-01,63125.99,33026.23,30099.76,0.4768,0.5232
MHC-03,2024-12-01,61689.94,31491.07,30198.87,0.4895,0.5105
MHC-04,2024-01-01,104091.27,39197.15,64894.12,0.6234,0.3766
MHC-04,2024-02-01,108465.77,42624.24,65841.53,0.607,0.393
MHC-04,2024-03-01,106025.93,41360.97,64664.96,0.6099,0.3901
MHC-04,2024-04-01,107680.03,43129.31,64550.72,0.5995,0.4005
MHC-04,2024-05-01,108226.61,43651.06,64575.55,0.5967,0.4033
MHC-04,2024-06-01,109035.76,44441.87,64593.89,0.5924,0.4076
MHC-04,2024-07-01,107645.59,44249.75,63395.84,0.5889,0.4111
MHC-04,2024-08-01,105958.11,42131.34,63826.77,0.6024,0.3976
MHC-04,2024-09-01,109239.16,45188.07,64051.09,0.5863,0.4137
MHC-04,2024-10-01,109691.76,45505.79,64185.97,0.5851,0.4149
MHC-04,2024-11-01,107391.61,44467.38,62924.23,0.5859,0.4141
MHC-04,2024-12-01,109844.99,45596.05,64248.94,0.5849,0.4151
MHC-05,2024-01-01,45965.19,22524.5,23440.69,0.51,0.49
MHC-05,2024-02-01,49754.85,25006.15,24748.7,0.4974,0.5026
MHC-05,2024-03-01,48684.19,24754.71,23929.48,0.4915,0.5085
MHC-05,2024-04-01,50053.88,25164.04,24889.84,0.4973,0.5027
MHC-05,2024-05-01,48623.59,24825.14,23798.45,0.4894,0.5106
MHC-05,2024-06-01,50235.57,25387.51,24848.06,0.4946,0.5054
MHC-05,2024-07-01,49765.17,25644.2,24120.97,0.4847,0.5153
MHC-05,2024-08-01,48902.9,24887.32,24015.58,0.4911,0.5089
MHC-05,2024-09-01,49718.5,25485.38,24233.12,0.4874,0.5126
MHC-05,2024-10-01,50799.31,25852.25,24947.06,0.4911,0.5089
MHC-05,2024-11-01,52465.9,27648.96,24816.94,0.473,0.527
MHC-05,2024-12-01,51244.97,27060.22,24184.75,0.4719,0.5281
MHC-06,2024-01-01,75178.49,32779.25,42399.24,0.564,0.436
MHC-06,2024-02-01,74204.07,32110.73,42093.34,0.5673,0.4327
MHC-06,2024-03-01,75767.3,33644.64,42122.66,0.5559,0.4441
MHC-06,2024-04-01,75536.97,34088.02,41448.95,0.5487,0.4513
MHC-06,2024-05-01,76977.82,34620.95,42356.87,0.5502,0.4498
MHC-06,2024-06-01,75582.87,34246.6,41336.27,0.5469,0.4531
MHC-06,2024-07-01,75516.04,34909.87,40606.17,0.5377,0.4623
MHC-06,2024-08-01,75159.06,33880.71,41278.35,0.5492,0.4508
MHC-06,2024-09-01,75421.53,35031.57,40389.96,0.5355,0.4645
MHC-06,2024-10-01,74463.79,35066.04,39397.75,0.5291,0.4709
MHC-06,2024-11-01,77376.58,36423.37,40953.21,0.5293,0.4707
MHC-06,2024-12-01,73662.54,34178.14,39484.4,0.536,0.464
MHC-07,2024-01-01,82109.9,37351.53,44758.37,0.5451,0.4549
MHC-07,2024-02-01,80274.77,37779.8,42494.97,0.5294,0.4706
MHC-07,2024-03-01,81180.93,37794.72,43386.21,0.5344,0.4656
MHC-07,2024-04-01,80564.81,37446.35,43118.46,0.5352,0.4648
MHC-07,2024-05-01,80952.82,38406.69,42546.13,0.5256,0.4744
MHC-07,2024-06-01,80609.77,38797.72,41812.05,0.5187,0.4813
MHC-07,2024-07-01,79874.26,38885.78,40988.48,0.5132,0.4868
MHC-07,2024-08-01,80193.37,38299.25,41894.12,0.5224,0.4776
MHC-07,2024-09-01,81505.94,39335.47,42170.47,0.5174,0.4826
MHC-07,2024-10-01,79674.82,39286.57,40388.25,0.5069,0.4931
MHC-07,2024-11-01,77276.73,37969.74,39306.99,0.5087,0.4913
MHC-07,2024-12-01,77864.09,38864.24,38999.85,0.5009,0.4991
STG-01,2024-01-01,38103.59,18036.39,20067.2,0.5266,0.4734
STG-01,2024-02-01,38422.5,18341.5,20081.0,0.5226,0.4774
STG-01,2024-03-01,38663.36,18896.24,19767.12,0.5113,0.4887
STG-01,2024-04-01,38308.14,18799.69,19508.45,0.5093,0.4907
STG-01,2024-05-01,38137.84,19009.03,19128.81,0.5016,0.4984
STG-01,2024-06-01,38209.07,19303.87,18905.2,0.4948,0.5052
STG-01,2024-07-01,38454.64,19312.72,19141.92,0.4978,0.5022
STG-01,2024-08-01,38755.99,19499.17,19256.82,0.4969,0.5031
STG-01,2024-09-01,38917.16,20196.16,18721.0,0.481,0.519
STG-01,2024-10-01,38429.47,20045.81,18383.66,0.4784,0.5216
STG-01,2024-11-01,38606.42,19924.59,18681.83,0.4839,0.5161
STG-01,2024-12-01,38746.65,20358.82,18387.83,0.4746,0.5254
STG-02,2024-01-01,35711.61,18241.6,17470.01,0.4892,0.5108
STG-02,2024-02-01,35512.31,18146.4,17365.91,0.489,0.511
STG-02,2024-03-01,35866.79,18896.62,16970.17,0.4731,0.5269
STG-02,2024-04-01,34939.97,18421.85,16518.12,0.4728,0.5272
STG-02,2024-05-01,35164.99,18770.02,16394.97,0.4662,0.5338
STG-02,2024-06-01,35431.12,19140.64,16290.48,0.4598,0.5402
STG-02,2024-07-01,35654.22,19604.95,16049.27,0.4501,0.5499
STG-02,2024-08-01,35527.53,19955.11,15572.42,0.4383,0.5617
STG-02,2024-09-01,35694.66,19936.06,15758.6,0.4415,0.5585
STG-02,2024-10-01,34529.65,19485.35,15044.3,0.4357,0.5643
STG-02,2024-11-01,35248.0,20468.7,14779.3,0.4193,0.5807
STG-02,2024-12-01,35318.32,20427.42,14890.9,0.4216,0.5784
STG-03,2024-01-01,19725.14,12247.79,7477.35,0.3791,0.6209
STG-03,2024-02-01,19327.12,11980.21,7346.91,0.3801,0.6199
STG-03,2024-03-01,19238.53,12113.08,7125.45,0.3704,0.6296
STG-03,2024-04-01,19370.71,12263.33,7107.38,0.3669,0.6331
STG-03,2024-05-01,19595.23,12539.08,7056.15,0.3601,0.6399
STG-03,2024-06-01,19145.93,12380.15,6765.78,0.3534,0.6466
STG-03,2024-07-01,19048.57,12480.1,6568.47,0.3448,0.6552
STG-03,2024-08-01,19060.62,12504.95,6555.67,0.3439,0.6561
STG-03,2024-09-01,19302.79,12627.47,6675.32,0.3458,0.6542
STG-03,2024-10-01,19580.02,12958.15,6621.87,0.3382,0.6618
STG-03,2024-11-01,19493.09,12973.65,6519.44,0.3344,0.6656
STG-03,2024-12-01,19618.74,13227.61,6391.13,0.3258,0.6742
STG-04,2024-01-01,15889.21,8980.97,6908.24,0.4348,0.5652
STG-04,2024-02-01,16430.71,9358.7,7072.01,0.4304,0.5696
STG-04,2024-03-01,16977.79,9577.79,7400.0,0.4359,0.5641
STG-04,2024-04-01,16978.39,9576.22,7402.17,0.436,0.564
STG-04,2024-05-01,17245.74,10143.6,7102.14,0.4118,0.5882
STG-04,2024-06-01,17672.22,10351.15,7321.07,0.4143,0.5857
STG-04,2024-07-01,17833.42,10527.21,7306.21,0.4097,0.5903
STG-04,2024-08-01,18173.02,10918.54,7254.48,0.3992,0.6008
STG-04,2024-09-01,17708.4,10390.78,7317.62,0.4132,0.5868
STG-04,2024-10-01,18154.35,10773.4,7380.95,0.4066,0.5934
STG-04,2024-11-01,19098.21,11587.53,7510.68,0.3933,0.6067
STG-04,2024-12-01,18880.64,11592.51,7288.13,0.386,0.614
STG-05,2024-01-01,20985.2,10353.17,10632.03,0.5066,0.4934
STG-05,2024-02-01,20794.07,10613.56,10180.51,0.4896,0.5104
STG-05,2024-03-01,20666.51,10690.68,9975.83,0.4827,0.5173
STG-05,2024-04-01,21470.04,10918.07,10551.97,0.4915,0.5085
STG-05,2024-05-01,20855.52,10804.35,10051.17,0.4819,0.5181
STG-05,2024-06-01,21221.95,11384.22,9837.73,0.4636,0.5364
STG-05,2024-07-01,20888.89,11217.91,9670.98,0.463,0.537
STG-05,2024-08-01,20972.83,11367.15,9605.68,0.458,0.542
STG-05,2024-09-01,21359.7,11441.84,9917.86,0.4643,0.5357
STG-05,2024-10-01,21335.92,11864.84,9471.08,0.4439,0.5561
STG-05,2024-11-01,21755.21,11899.37,9855.84,0.453,0.547
STG-05,2024-12-01,21466.19,12142.41,9323.78,0.4343,0.5657
